company,ticker,year,AccountsReceivableNetCurrent,Assets,CashAndCashEquivalentsAtCarryingValue,InventoryNet,Liabilities,NetIncomeLoss,Revenues,dsri,aqi,sgi,lvgi,accruals,cash_profit_gap,rev_growth,recv_growth,rev_recv_divergence
3M CO,MMM,2008,3195000000.0,25793000000.0,1849000000.0,3013000000.0,15489000000.0,3460000000.0,,,,,,0.06245880665296786,0.534393063583815,,,
3M CO,MMM,2009,3250000000.0,27250000000.0,3040000000.0,2639000000.0,13948000000.0,3193000000.0,,,0.9777522997852293,,0.8523616677357888,0.0056146788990825685,0.9520826808643909,,0.017214397496087636,
3M CO,MMM,2010,3615000000.0,30156000000.0,3377000000.0,3155000000.0,14139000000.0,4085000000.0,,,0.986890529742401,,0.9160085507754285,0.02347791484281735,0.8266829865361077,,0.1123076923076923,
3M CO,MMM,2011,3867000000.0,31616000000.0,2219000000.0,3416000000.0,15754000000.0,4283000000.0,,,1.0541653396659763,,1.0627691968377586,0.0652834008097166,0.5180947933691338,,0.06970954356846473,
3M CO,MMM,2012,4061000000.0,33876000000.0,2883000000.0,3837000000.0,15836000000.0,4444000000.0,,,0.9746876427415114,,0.9381438818912452,0.04607982052190341,0.6487398739873987,,0.05016808895784846,
3M CO,MMM,2013,4253000000.0,33304000000.0,2581000000.0,3864000000.0,15602000000.0,4659000000.0,,,0.9956380441374251,,1.0021448680345146,0.062394907518616385,0.553981541103241,,0.047278995321349424,
3M CO,MMM,2014,4238000000.0,31374000000.0,1897000000.0,3706000000.0,18067000000.0,4956000000.0,,,1.0111307608592153,,1.2292275255503633,0.09750111557340473,0.3827683615819209,,-0.003526922172584058,
3M CO,MMM,2015,4154000000.0,32883000000.0,1798000000.0,3518000000.0,21415000000.0,4833000000.0,,,1.037411324453074,,1.1309163788446381,0.09229693154517532,0.3720256569418581,,-0.019820670127418595,
3M CO,MMM,2016,4392000000.0,32906000000.0,2398000000.0,3385000000.0,22563000000.0,5050000000.0,30109000000.0,,0.9701922831280453,,1.0528708545538394,0.08059320488664681,0.47485148514851483,,0.05729417428984112,
3M CO,MMM,2017,4911000000.0,37987000000.0,,4034000000.0,26365000000.0,4858000000.0,31657000000.0,1.0634918795746275,1.106746292276032,1.0514131987113489,1.0122109446789718,,,0.051413198711348765,0.11816939890710383,0.06675620019575507
3M CO,MMM,2018,5020000000.0,36500000000.0,,4366000000.0,26652000000.0,5349000000.0,32765000000.0,0.9876279384520119,0.9716485411303234,1.035000157942951,1.0520688480213234,,,0.035000157942951006,0.02219507228670332,-0.012805085656247685
3M CO,MMM,2019,4791000000.0,44659000000.0,,4134000000.0,34533000000.0,4517000000.0,32136000000.0,0.9730626597419136,1.0771393992161393,0.9808026857927666,1.0589815027253546,,,-0.019197314207233328,-0.04561752988047809,-0.026420215673244762
3M CO,MMM,2020,4705000000.0,47344000000.0,,4239000000.0,34413000000.0,5449000000.0,32184000000.0,0.9805850237153897,1.013663100753109,1.001493651979089,0.9400095637835465,,,0.0014936519790888724,-0.017950323523272804,-0.019443975502361675
3M CO,MMM,2021,4660000000.0,47072000000.0,,4985000000.0,31955000000.0,5921000000.0,35355000000.0,0.901603246620621,0.980293424611942,1.0985272184936614,0.9339391566705726,,,0.09852721849366144,-0.009564293304994687,-0.10809151179865613
3M CO,MMM,2022,4532000000.0,46455000000.0,,5372000000.0,31685000000.0,5777000000.0,26161000000.0,1.3143180893880466,0.9895652426329685,0.7399519162777543,1.0047200665840545,,,-0.2600480837222458,-0.027467811158798282,0.23258027256344752
3M CO,MMM,2023,3601000000.0,50580000000.0,,3944000000.0,45712000000.0,-6995000000.0,24610000000.0,0.8446483680275492,1.0813746472899806,0.940713275486411,1.3250435456827674,,,-0.05928672451358893,-0.20542806707855252,-0.14614134256496358
